AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;CD_PROGRAMA_IES;NM_PROGRAMA_IES;CD_CURSO_PPG;NM_CURSO;NM_GRAU_CURSO;CD_CONCEITO_CURSO;AN_INICIO_PREVISTO;DS_SITUACAO_CURSO;DT_SITUACAO_CURSO;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2024;CIÊNCIAS DA SAÚDE;MEDICINA;CLÍNICA MÉDICA;NEUROLOGIA;16;MEDICINA II;28007018;24;UESC;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;ESTADUAL;PÚBLICA;UNIVERSIDADE;NORDESTE;BA;ILHÉUS;28007018075P7;CIÊNCIAS DA SAÚDE;28007018075M7;CIÊNCIAS DA SAÚDE;MESTRADO;3;2015;EM FUNCIONAMENTO;05FEB2018:00:00:00;264617;198488
2024;MULTIDISCIPLINAR;ENSINO;NÃO SE APLICA;NÃO SE APLICA;46;ENSINO;28005015;40;UNEB;UNIVERSIDADE DO ESTADO DA BAHIA;ESTADUAL;PÚBLICA;UNIVERSIDADE;NORDESTE;BA;CAETITÉ;28005015075P4;ENSINO, LINGUAGEM E SOCIEDADE;28005015075F7;ENSINO LINGUAGEM E SOCIEDADE;MESTRADO PROFISSIONAL;3;2019;EM FUNCIONAMENTO;17MAR2020:00:00:00;264851;198642
2024;CIÊNCIAS AGRÁRIAS;ZOOTECNIA;NÃO SE APLICA;NÃO SE APLICA;23;ZOOTECNIA / RECURSOS PESQUEIROS;17010004;29118;UFNT;UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;TO;ARAGUAÍNA;16003012002P0;INTEGRADO EM ZOOTECNIA NOS TRÓPICOS;16003012002M0;INTEGRADO EM ZOOTECNIA NOS TRÓPICOS;MESTRADO;4;2006;EM FUNCIONAMENTO;18SEP2012:00:00:00;264814;198626
2024;MULTIDISCIPLINAR;BIOTECNOLOGIA;NÃO SE APLICA;NÃO SE APLICA;48;BIOTECNOLOGIA;40001016;571;UFPR;UNIVERSIDADE FEDERAL DO PARANÁ;FEDERAL;PÚBLICA;UNIVERSIDADE;SUL;PR;CURITIBA;40001016036P8;ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA;40001016036D9;ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA;DOUTORADO;7;1997;EM FUNCIONAMENTO;09JAN2013:00:00:00;265295;198914
2024;MULTIDISCIPLINAR;ENSINO;NÃO SE APLICA;NÃO SE APLICA;46;ENSINO;33103011;953;UNIMES;UNIVERSIDADE METROPOLITANA DE SANTOS;PARTICULAR;PRIVADA;UNIVERSIDADE;SUDESTE;SP;SANTOS;33103011003P2;PRÁTICAS DOCENTES NO ENSINO FUNDAMENTAL;33103011003F5;PRÁTICAS DOCENTES NO ENSINO FUNDAMENTAL;MESTRADO PROFISSIONAL;3;2015;EM FUNCIONAMENTO;17AUG2020:00:00:00;266303;199543
2024;CIÊNCIAS EXATAS E DA TERRA;CIÊNCIA DA COMPUTAÇÃO;NÃO SE APLICA;NÃO SE APLICA;2;COMPUTAÇÃO;21001014;5;UFPI;UNIVERSIDADE FEDERAL DO PIAUÍ;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;PI;TERESINA;21001014031P2;CIÊNCIA DA COMPUTAÇÃO;21001014031M2;CIÊNCIA DA COMPUTAÇÃO;MESTRADO;4;2012;EM FUNCIONAMENTO;21DEC2012:00:00:00;266185;199441
2024;CIÊNCIAS AGRÁRIAS;MEDICINA VETERINÁRIA;NÃO SE APLICA;NÃO SE APLICA;24;MEDICINA VETERINÁRIA;20002017;568;UEMA;UNIVERSIDADE ESTADUAL DO MARANHÃO;ESTADUAL;PÚBLICA;UNIVERSIDADE;NORDESTE;MA;SÃO LUÍS;20002017005P5;DEFESA SANITÁRIA ANIMAL;20002017005R1;DEFESA SANITÁRIA ANIMAL;DOUTORADO PROFISSIONAL;5;2019;EM FUNCIONAMENTO;06AUG2019:00:00:00;265145;198805
2024;CIÊNCIAS SOCIAIS APLICADAS;COMUNICAÇÃO;NÃO SE APLICA;NÃO SE APLICA;31;COMUNICAÇÃO E INFORMAÇÃO;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;PARTICULAR;PRIVADA;UNIVERSIDADE;NORDESTE;PE;RECIFE;25002015008P8;INDÚSTRIAS CRIATIVAS;25002015008F0;INDÚSTRIAS CRIATIVAS;MESTRADO PROFISSIONAL;4;2017;EM FUNCIONAMENTO;13APR2018:00:00:00;265628;199022
2024;CIÊNCIAS DA SAÚDE;EDUCAÇÃO FÍSICA;NÃO SE APLICA;NÃO SE APLICA;21;EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL;53003012;403;UCB;UNIVERSIDADE CATÓLICA DE BRASÍLIA;PARTICULAR;PRIVADA;UNIVERSIDADE;CENTRO-OESTE;DF;BRASÍLIA;53003012007P7;EDUCAÇÃO FÍSICA;53003012007D8;EDUCAÇÃO FÍSICA;DOUTORADO;5;2006;EM FUNCIONAMENTO;18SEP2012:00:00:00;263570;197835
2024;CIÊNCIAS HUMANAS;SOCIOLOGIA;NÃO SE APLICA;NÃO SE APLICA;34;SOCIOLOGIA;20001010;548;UFMA;UNIVERSIDADE FEDERAL DO MARANHÃO;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;MA;SÃO LUÍS;20001010011P9;CIÊNCIAS SOCIAIS;20001010011D0;CIÊNCIAS SOCIAIS;DOUTORADO;4;2011;EM FUNCIONAMENTO;05SEP2012:00:00:00;264733;198600
